player,url,deck_name,num,card_name,card_rarity
Vasiliev_Vitaliy,https://www.mtgtop8.com/event?e=23741&d=364836&f=ST,Esper_Danse,2,Island,common
Kirk_Kismet,https://www.mtgtop8.com/event?e=23993&d=367254&f=ST,Golgari_Aggro,9,Forest,common
Yokokawa_Yuuta,https://www.mtgtop8.com/event?e=23907&d=366416&f=ST,UW_Control,4,Planar Cleansing,rare
im2g00t4ubarn,https://www.mtgtop8.com/event?e=24240&d=369200&f=ST,Jund_Sacrifice,1,Act of Treason,common
Caio_Amaral,https://www.mtgtop8.com/event?e=23974&d=367067&f=ST,Mono_Red_Aggro,2,Act of Treason,common
Alexander_Lim,https://www.mtgtop8.com/event?e=24112&d=368270&f=ST,Jund_Sacrifice,5,Forest,common
bnjy99,https://www.mtgtop8.com/event?e=23793&d=365328&f=ST,Jund_Aggro,6,Forest,common
felider,https://www.mtgtop8.com/event?e=23856&d=365904&f=ST,Gruul_Aggro,3,Shock,common
Eric_Landon,https://www.mtgtop8.com/event?e=24113&d=368279&f=ST,Simic_Ramp_Elemental,10,Forest,common
Popov_Stanislav,https://www.mtgtop8.com/event?e=23800&d=365398&f=ST,Bant_Control,5,Forest,common
Hibino_Yasutaka,https://www.mtgtop8.com/event?e=23749&d=364939&f=ST,Temur_Reclamation,1,Forest,common
Shahar_Shenhar,https://www.mtgtop8.com/event?e=23942&d=366826&f=ST,Izzet_Flash,9,Island,common
Oono_Isao,https://www.mtgtop8.com/event?e=23907&d=366412&f=ST,Temur_Reclamation,1,Forest,common
Will,https://www.mtgtop8.com/event?e=24042&d=367730&f=ST,Golgari_Adventure,8,Forest,common
D3m0nger,https://www.mtgtop8.com/event?e=24107&d=368232&f=ST,Flash,2,Shock,common
D3m0nger,https://www.mtgtop8.com/event?e=23874&d=366103&f=ST,Ur_Flash,2,Shock,common
Aaron_James_Alicante,https://www.mtgtop8.com/event?e=24144&d=368504&f=ST,Rakdos_Aggro,6,Mountain,common
Evan_Moore,https://www.mtgtop8.com/event?e=24177&d=368761&f=ST,Simic_Flash,7,Forest,common
Nathan_Zamora,https://www.mtgtop8.com/event?e=24108&d=368242&f=ST,Adventure,7,Forest,common
Nobuta_Kazuhito,https://www.mtgtop8.com/event?e=23980&d=367109&f=ST,Temur_Aggro,6,Forest,common
_Valen_,https://www.mtgtop8.com/event?e=24050&d=367822&f=ST,Temur_Reclamation,1,Forest,common
truthordare,https://www.mtgtop8.com/event?e=23812&d=365508&f=ST,UW_Control,6,Island,common
Stephen_Dykman,https://www.mtgtop8.com/event?e=24037&d=367685&f=ST,Ug_Ramp,10,Forest,common
Zach_Keathley,https://www.mtgtop8.com/event?e=23721&d=364655&f=ST,G-w_Adventure,8,Forest,common
floatius,https://www.mtgtop8.com/event?e=23793&d=365340&f=ST,Red_Deck_Wins,4,Shock,common
Paul_Kuhnert,https://www.mtgtop8.com/event?e=23849&d=365848&f=ST,Izzet_Flash,2,Shock,common
Malkafa,https://www.mtgtop8.com/event?e=24050&d=367818&f=ST,Simic_Flash,7,Forest,common
Dylan_Donegan,https://www.mtgtop8.com/event?e=24032&d=367633&f=ST,Simic_Ramp_Elemental,10,Forest,common
Theshaman,https://www.mtgtop8.com/event?e=24042&d=367732&f=ST,Simic_Flash,7,Forest,common
Francis_Obien,https://www.mtgtop8.com/event?e=23787&d=365291&f=ST,Mono_G_Aggro,20,Forest,common
DRS,https://www.mtgtop8.com/event?e=23763&d=365040&f=ST,Mono_Black_Aggro,20,Swamp,common
Piper_Powell,https://www.mtgtop8.com/event?e=24112&d=368273&f=ST,Simic_Flash,7,Forest,common
Mulldrifter,https://www.mtgtop8.com/event?e=24240&d=369202&f=ST,Fires_of_Invention,1,Disenchant,common
Yokoyama_Shouhei,https://www.mtgtop8.com/event?e=24084&d=368093&f=ST,Simic_Ramp_Elemental,10,Forest,common
Harlan_Firer,https://www.mtgtop8.com/event?e=24032&d=367632&f=ST,Simic_Ramp_Elemental,9,Forest,common
