,num,name
804,3,Prison Realm
805,1,Finale of Revelation
806,3,Dovin's Veto
807,4,"Teferi, Time Raveler"
808,4,Time Wipe
809,2,"Blast Zone, "
810,7,Forest
811,2,Island
812,1,Plains
813,4,Breeding Pool
814,4,Hallowed Fountain
815,4,Gilded Goose
816,2,Once Upon a Time
817,4,Questing Beast
818,4,Wicked Wolf
819,4,"Oko, Thief of Crowns"
820,2,Fabled Passage
821,2,Knight of Autumn
822,4,Disdainful Stroke
823,3,Aether Gust
824,4,Veil of Summer
825,1,"Vivien, Arkbow Ranger"
826,2,Voracious Hydra
827,1,Negate
828,4,Temple Garden
829,4,Deputy of Detention
830,4,Hydroid Krasis
831,4,"Nissa, Who Shakes the World"
832,4,"Paradise Druid, "
833,6,Forest
834,2,Island
835,1,Plains
836,4,Breeding Pool
837,4,Hallowed Fountain
838,2,Glass Casket
839,4,Gilded Goose
840,4,Once Upon a Time
841,2,Questing Beast
842,4,Wicked Wolf
843,2,Maraleaf Pixie
844,4,"Oko, Thief of Crowns"
845,3,Fabled Passage
846,1,Knight of Autumn
847,2,Disdainful Stroke
848,2,Aether Gust
849,2,Veil of Summer
850,1,Voracious Hydra
851,1,Negate
852,4,Temple Garden
853,4,Deputy of Detention
854,4,Hydroid Krasis
855,4,"Nissa, Who Shakes the World"
856,4,Paradise Druid
857,3,"Tamiyo, Collector of Tales"
858,1,"Tolsimir, Friend to Wolves, "
859,6,Forest
860,1,Island
861,1,Plains
862,4,Breeding Pool
863,3,Hallowed Fountain
864,3,Glass Casket
865,4,Gilded Goose
866,4,Once Upon a Time
867,3,Questing Beast
868,4,Wicked Wolf
869,4,"Oko, Thief of Crowns"
870,3,Fabled Passage
871,2,Disdainful Stroke
872,3,Aether Gust
873,3,Veil of Summer
874,4,Temple Garden
875,2,Deputy of Detention
876,4,Hydroid Krasis
877,2,Temple of Mystery
878,4,"Nissa, Who Shakes the World"
879,4,Paradise Druid
880,2,"Tamiyo, Collector of Tales"
881,4,"Teferi, Time Raveler"
882,1,"Tolsimir, Friend to Wolves, "
883,6,Forest
884,2,Island
885,1,Plains
886,4,Breeding Pool
887,4,Hallowed Fountain
888,2,Glass Casket
889,4,Gilded Goose
890,4,Once Upon a Time
891,4,Questing Beast
892,4,Wicked Wolf
893,4,"Oko, Thief of Crowns"
894,3,Fabled Passage
895,1,Knight of Autumn
896,2,Disdainful Stroke
897,2,Aether Gust
898,2,Veil of Summer
899,1,Voracious Hydra
900,1,Negate
901,4,Temple Garden
902,4,Deputy of Detention
903,4,Hydroid Krasis
904,4,"Nissa, Who Shakes the World"
905,4,Paradise Druid
906,3,"Tamiyo, Collector of Tales"
907,1,"Tolsimir, Friend to Wolves, "
908,6,Forest
909,2,Island
910,1,Plains
911,4,Breeding Pool
912,4,Hallowed Fountain
913,2,Glass Casket
914,2,Mystical Dispute
915,4,Gilded Goose
916,4,Once Upon a Time
917,2,Questing Beast
918,4,Wicked Wolf
919,4,"Oko, Thief of Crowns"
920,1,Castle Vantress
921,2,Fabled Passage
922,2,Lovestruck Beast
923,2,Disdainful Stroke
924,1,Devout Decree
925,2,Aether Gust
926,2,Veil of Summer
927,4,Temple Garden
928,1,Mass Manipulation
929,2,Deputy of Detention
930,4,Hydroid Krasis
931,4,"Nissa, Who Shakes the World"
932,4,Paradise Druid
933,3,"Teferi, Time Raveler"
934,2,"Tolsimir, Friend to Wolves, "
935,6,Forest
936,2,Island
937,1,Plains
938,4,Breeding Pool
939,4,Hallowed Fountain
940,2,Glass Casket
941,4,Gilded Goose
942,2,Once Upon a Time
943,4,Questing Beast
944,4,Wicked Wolf
945,4,"Oko, Thief of Crowns"
946,3,Fabled Passage
947,1,Knight of Autumn
948,4,Disdainful Stroke
949,3,Aether Gust
950,2,Leafkin Druid
951,2,Veil of Summer
952,1,Voracious Hydra
953,1,Negate
954,4,Temple Garden
955,4,Deputy of Detention
956,4,Hydroid Krasis
957,4,"Nissa, Who Shakes the World"
958,4,Paradise Druid
959,1,"Tolsimir, Friend to Wolves, "
960,6,Forest
961,2,Island
962,1,Plains
963,4,Breeding Pool
964,4,Hallowed Fountain
965,2,Glass Casket
966,4,Gilded Goose
967,4,Once Upon a Time
968,4,Questing Beast
969,4,Wicked Wolf
970,4,"Oko, Thief of Crowns"
971,3,Fabled Passage
972,2,Disdainful Stroke
973,3,Aether Gust
974,2,Veil of Summer
975,1,Voracious Hydra
976,1,Negate
977,4,Temple Garden
978,4,Deputy of Detention
979,4,Hydroid Krasis
980,1,Prison Realm
981,4,"Nissa, Who Shakes the World"
982,4,Paradise Druid
983,2,"Tamiyo, Collector of Tales"
984,1,"Tolsimir, Friend to Wolves, "
985,6,Forest
986,5,Island
987,4,Breeding Pool
988,4,Hallowed Fountain
989,1,Mystical Dispute
990,4,Gilded Goose
991,4,Once Upon a Time
992,4,Wicked Wolf
993,4,"Oko, Thief of Crowns"
994,2,Castle Vantress
995,3,Aether Gust
996,3,Veil of Summer
997,3,Voracious Hydra
998,2,Negate
999,4,Temple Garden
1000,3,Thrashing Brontodon
1001,3,Mass Manipulation
1002,2,Growth Spiral
1003,3,Hydroid Krasis
1004,4,"Nissa, Who Shakes the World"
1005,4,Paradise Druid
1006,3,"Teferi, Time Raveler, "
1007,6,Forest
1008,5,Island
1009,4,Breeding Pool
1010,4,Hallowed Fountain
1011,1,Mystical Dispute
1012,4,Gilded Goose
1013,4,Once Upon a Time
1014,4,Wicked Wolf
1015,4,"Oko, Thief of Crowns"
1016,2,Castle Vantress
1017,3,Aether Gust
1018,2,Veil of Summer
1019,4,Voracious Hydra
1020,2,Negate
1021,4,Temple Garden
1022,3,Thrashing Brontodon
1023,3,Mass Manipulation
1024,2,Growth Spiral
1025,3,Hydroid Krasis
1026,4,"Nissa, Who Shakes the World"
1027,4,Paradise Druid
